time,measured_signal,true_signal,true_background
0.0,30.0,0.0,30.0
0.008,29.9997,0.0,29.9997
0.016,29.9993,0.0,29.9993
0.024,29.999,0.0,29.999
0.032,29.9986,0.0,29.9986
0.04,29.9983,0.0,29.9983
0.048,29.9979,0.0,29.9979
0.056,29.9976,0.0,29.9976
0.064,29.9972,0.0,29.9972
0.07200000000000001,29.9968,0.0,29.9968
0.08,29.9965,0.0,29.9965
0.088,29.9961,0.0,29.9961
0.096,29.9958,0.0,29.9958
0.10400000000000001,29.9954,0.0,29.9954
0.112,29.995,0.0,29.995
0.12,29.9947,0.0,29.9947
0.128,29.9943,0.0,29.9943
0.136,29.9939,0.0,29.9939
0.14400000000000002,29.9936,0.0,29.9936
0.152,29.9932,0.0,29.9932
0.16,29.9928,0.0,29.9928
0.168,29.9924,0.0,29.9924
0.176,29.9921,0.0,29.9921
0.184,29.9917,0.0,29.9917
0.192,29.9913,0.0,29.9913
0.2,29.9909,0.0,29.9909
0.20800000000000002,29.9905,0.0,29.9905
0.216,29.9902,0.0,29.9902
0.224,29.9898,0.0,29.9898
0.232,29.9894,0.0,29.9894
0.24,29.989,0.0,29.989
0.248,29.9886,0.0,29.9886
0.256,29.9882,0.0,29.9882
0.264,29.9878,0.0,29.9878
0.272,29.9874,0.0,29.9874
0.28,29.987,0.0,29.987
0.28800000000000003,29.9866,0.0,29.9866
0.296,29.9862,0.0,29.9862
0.304,29.9858,0.0,29.9858
0.312,29.9854,0.0,29.9854
0.32,29.985,0.0,29.985
0.328,29.9846,0.0,29.9846
0.336,29.9842,0.0,29.9842
0.34400000000000003,29.9838,0.0,29.9838
0.352,29.9834,0.0,29.9834
0.36,29.983,0.0,29.983
0.368,29.9825,0.0,29.9825
0.376,29.9821,0.0,29.9821
0.384,29.9817,0.0,29.9817
0.392,29.9813,0.0,29.9813
0.4,29.9809,0.0,29.9809
0.40800000000000003,29.9804,0.0,29.9804
0.41600000000000004,29.98,0.0,29.98
0.424,29.9796,0.0,29.9796
0.432,29.9792,0.0,29.9792
