,time_min,intensity_mV
596,4.96667,3
597,4.975,3
598,4.98333,3
599,4.99167,3
600,5.0,3
601,5.00833,3
602,5.01667,2
603,5.025,2
604,5.03333,2
605,5.04167,2
606,5.05,2
607,5.05833,2
608,5.06667,2
609,5.075,2
610,5.08333,2
611,5.09167,2
612,5.1,2
613,5.10833,2
614,5.11667,2
615,5.125,2
616,5.13333,2
617,5.14167,2
618,5.15,2
619,5.15833,2
620,5.16667,2
621,5.175,1
622,5.18333,1
623,5.19167,1
624,5.2,1
625,5.20833,1
626,5.21667,1
627,5.225,1
628,5.23333,2
629,5.24167,1
630,5.25,1
631,5.25833,1
632,5.26667,2
633,5.275,2
634,5.28333,2
635,5.29167,2
636,5.3,3
637,5.30833,3
638,5.31667,3
639,5.325,2
640,5.33333,2
641,5.34167,2
642,5.35,2
643,5.35833,2
644,5.36667,1
645,5.375,1
646,5.38333,1
647,5.39167,1
648,5.4,1
649,5.40833,1
650,5.41667,1
651,5.425,1
652,5.43333,2
653,5.44167,2
654,5.45,2
655,5.45833,2
656,5.46667,1
657,5.475,1
658,5.48333,1
659,5.49167,1
660,5.5,2
661,5.50833,2
662,5.51667,2
663,5.525,1
664,5.53333,1
665,5.54167,1
666,5.55,1
667,5.55833,1
668,5.56667,1
669,5.575,2
670,5.58333,2
671,5.59167,2
672,5.6,2
673,5.60833,2
674,5.61667,2
675,5.625,2
676,5.63333,2
677,5.64167,2
678,5.65,2
679,5.65833,1
680,5.66667,1
681,5.675,1
682,5.68333,1
683,5.69167,1
684,5.7,1
685,5.70833,1
686,5.71667,1
687,5.725,1
688,5.73333,1
689,5.74167,1
690,5.75,2
691,5.75833,2
692,5.76667,2
693,5.775,2
694,5.78333,2
695,5.79167,2
696,5.8,2
697,5.80833,2
698,5.81667,2
699,5.825,2
700,5.83333,3
701,5.84167,2
702,5.85,2
703,5.85833,2
704,5.86667,2
705,5.875,2
706,5.88333,2
707,5.89167,2
708,5.9,2
709,5.90833,2
710,5.91667,2
711,5.925,2
712,5.93333,2
713,5.94167,1
714,5.95,1
715,5.95833,1
716,5.96667,1
717,5.975,1
718,5.98333,1
719,5.99167,1
720,6.0,1
721,6.00833,2
722,6.01667,2
723,6.025,1
724,6.03333,1
725,6.04167,2
726,6.05,2
727,6.05833,2
728,6.06667,2
729,6.075,2
730,6.08333,2
731,6.09167,2
732,6.1,2
733,6.10833,2
734,6.11667,2
735,6.125,2
736,6.13333,3
737,6.14167,3
738,6.15,3
739,6.15833,3
740,6.16667,2
741,6.175,2
742,6.18333,2
743,6.19167,2
744,6.2,2
745,6.20833,2
746,6.21667,2
747,6.225,2
748,6.23333,1
749,6.24167,1
750,6.25,1
751,6.25833,1
752,6.26667,1
753,6.275,1
754,6.28333,1
755,6.29167,1
756,6.3,1
757,6.30833,1
758,6.31667,1
759,6.325,2
760,6.33333,2
761,6.34167,2
762,6.35,2
763,6.35833,2
764,6.36667,2
765,6.375,2
766,6.38333,2
767,6.39167,1
768,6.4,1
769,6.40833,2
770,6.41667,2
771,6.425,2
772,6.43333,2
773,6.44167,2
774,6.45,2
775,6.45833,2
776,6.46667,2
777,6.475,2
778,6.48333,2
779,6.49167,2
780,6.5,2
781,6.50833,2
782,6.51667,2
783,6.525,2
784,6.53333,2
785,6.54167,2
786,6.55,2
787,6.55833,2
788,6.56667,1
789,6.575,1
790,6.58333,1
791,6.59167,1
792,6.6,1
793,6.60833,1
794,6.61667,1
795,6.625,1
796,6.63333,2
797,6.64167,2
798,6.65,1
799,6.65833,1
800,6.66667,1
801,6.675,1
802,6.68333,1
803,6.69167,1
804,6.7,1
805,6.70833,1
806,6.71667,1
807,6.725,1
808,6.73333,1
809,6.74167,1
810,6.75,2
811,6.75833,2
812,6.76667,2
813,6.775,2
814,6.78333,1
815,6.79167,1
816,6.8,1
817,6.80833,1
818,6.81667,1
819,6.825,1
820,6.83333,2
821,6.84167,2
822,6.85,2
823,6.85833,2
824,6.86667,2
825,6.875,2
826,6.88333,2
827,6.89167,1
828,6.9,1
829,6.90833,1
830,6.91667,1
831,6.925,1
832,6.93333,1
833,6.94167,1
834,6.95,1
835,6.95833,1
836,6.96667,1
837,6.975,1
838,6.98333,2
839,6.99167,2
840,7.0,2
841,7.00833,2
842,7.01667,2
843,7.025,2
844,7.03333,2
845,7.04167,2
846,7.05,2
847,7.05833,2
848,7.06667,2
849,7.075,1
850,7.08333,1
851,7.09167,1
852,7.1,1
853,7.10833,2
854,7.11667,2
855,7.125,2
856,7.13333,2
857,7.14167,2
858,7.15,3
859,7.15833,3
860,7.16667,3
861,7.175,3
862,7.18333,3
863,7.19167,3
864,7.2,2
865,7.20833,2
866,7.21667,2
867,7.225,2
868,7.23333,2
869,7.24167,2
870,7.25,1
871,7.25833,1
872,7.26667,1
873,7.275,1
874,7.28333,2
875,7.29167,2
876,7.3,2
877,7.30833,2
878,7.31667,2
879,7.325,2
880,7.33333,2
881,7.34167,2
882,7.35,2
883,7.35833,2
884,7.36667,2
885,7.375,2
886,7.38333,2
887,7.39167,1
888,7.4,1
889,7.40833,1
890,7.41667,1
891,7.425,1
892,7.43333,1
893,7.44167,2
894,7.45,2
895,7.45833,2
896,7.46667,3
897,7.475,3
898,7.48333,3
899,7.49167,3
900,7.5,3
901,7.50833,3
902,7.51667,3
903,7.525,3
904,7.53333,3
905,7.54167,3
906,7.55,3
907,7.55833,3
908,7.56667,3
909,7.575,3
910,7.58333,3
911,7.59167,3
912,7.6,2
913,7.60833,2
914,7.61667,2
915,7.625,2
916,7.63333,2
917,7.64167,2
918,7.65,2
919,7.65833,2
920,7.66667,2
921,7.675,2
922,7.68333,2
923,7.69167,2
924,7.7,2
925,7.70833,2
926,7.71667,2
927,7.725,2
928,7.73333,2
929,7.74167,2
930,7.75,2
931,7.75833,2
932,7.76667,2
933,7.775,1
934,7.78333,1
935,7.79167,2
936,7.8,2
937,7.80833,2
938,7.81667,2
939,7.825,2
940,7.83333,2
941,7.84167,2
942,7.85,2
943,7.85833,2
944,7.86667,2
945,7.875,2
946,7.88333,2
947,7.89167,2
948,7.9,2
949,7.90833,2
950,7.91667,2
951,7.925,2
952,7.93333,2
953,7.94167,2
954,7.95,2
955,7.95833,2
956,7.96667,2
957,7.975,2
958,7.98333,2
959,7.99167,2
960,8.0,2
961,8.00833,2
962,8.01667,2
963,8.025,2
964,8.03333,2
965,8.04167,2
966,8.05,2
967,8.05833,2
968,8.06667,2
969,8.075,2
970,8.08333,2
971,8.09167,2
972,8.1,2
973,8.10833,2
974,8.11667,2
975,8.125,2
976,8.13333,2
977,8.14167,2
978,8.15,2
979,8.15833,2
980,8.16667,2
981,8.175,2
982,8.18333,2
983,8.19167,2
984,8.2,2
985,8.20833,2
986,8.21667,2
987,8.225,2
988,8.23333,2
989,8.24167,2
990,8.25,2
991,8.25833,2
992,8.26667,3
993,8.275,3
994,8.28333,3
995,8.29167,3
996,8.3,3
997,8.30833,3
998,8.31667,2
999,8.325,3
1000,8.33333,3
1001,8.34167,2
1002,8.35,2
1003,8.35833,2
1004,8.36667,2
1005,8.375,2
1006,8.38333,2
1007,8.39167,2
1008,8.4,2
1009,8.40833,2
1010,8.41667,2
1011,8.425,3
1012,8.43333,3
1013,8.44167,3
1014,8.45,3
1015,8.45833,3
1016,8.46667,3
1017,8.475,3
1018,8.48333,3
1019,8.49167,3
1020,8.5,3
1021,8.50833,3
1022,8.51667,3
1023,8.525,3
1024,8.53333,4
1025,8.54167,4
1026,8.55,4
1027,8.55833,4
1028,8.56667,4
1029,8.575,3
1030,8.58333,3
1031,8.59167,3
1032,8.6,3
1033,8.60833,3
1034,8.61667,2
1035,8.625,2
1036,8.63333,3
1037,8.64167,3
1038,8.65,3
1039,8.65833,3
1040,8.66667,3
1041,8.675,3
1042,8.68333,2
1043,8.69167,2
1044,8.7,1
1045,8.70833,1
1046,8.71667,1
1047,8.725,1
1048,8.73333,1
1049,8.74167,1
1050,8.75,2
1051,8.75833,2
1052,8.76667,2
1053,8.775,2
1054,8.78333,2
1055,8.79167,2
1056,8.8,2
1057,8.80833,2
1058,8.81667,2
1059,8.825,2
1060,8.83333,2
1061,8.84167,2
1062,8.85,2
1063,8.85833,2
1064,8.86667,2
1065,8.875,2
1066,8.88333,2
1067,8.89167,2
1068,8.9,3
1069,8.90833,3
1070,8.91667,3
1071,8.925,3
1072,8.93333,3
1073,8.94167,3
1074,8.95,3
1075,8.95833,3
1076,8.96667,3
1077,8.975,3
1078,8.98333,3
1079,8.99167,3
1080,9.0,3
1081,9.00833,3
1082,9.01667,3
1083,9.025,3
1084,9.03333,3
1085,9.04167,3
1086,9.05,2
1087,9.05833,2
1088,9.06667,2
1089,9.075,2
1090,9.08333,2
1091,9.09167,3
1092,9.1,3
1093,9.10833,3
1094,9.11667,3
1095,9.125,3
1096,9.13333,3
1097,9.14167,3
1098,9.15,3
1099,9.15833,3
1100,9.16667,3
1101,9.175,3
1102,9.18333,3
1103,9.19167,3
1104,9.2,3
1105,9.20833,3
1106,9.21667,3
1107,9.225,3
1108,9.23333,4
1109,9.24167,4
1110,9.25,4
1111,9.25833,4
1112,9.26667,4
1113,9.275,4
1114,9.28333,3
1115,9.29167,3
1116,9.3,3
1117,9.30833,3
1118,9.31667,3
1119,9.325,4
1120,9.33333,4
1121,9.34167,4
1122,9.35,4
1123,9.35833,4
1124,9.36667,3
1125,9.375,3
1126,9.38333,3
1127,9.39167,3
1128,9.4,3
1129,9.40833,4
1130,9.41667,4
1131,9.425,3
1132,9.43333,3
1133,9.44167,3
1134,9.45,3
1135,9.45833,3
1136,9.46667,3
1137,9.475,3
1138,9.48333,3
1139,9.49167,3
1140,9.5,3
1141,9.50833,3
1142,9.51667,3
1143,9.525,3
1144,9.53333,3
1145,9.54167,3
1146,9.55,3
1147,9.55833,4
1148,9.56667,4
1149,9.575,4
1150,9.58333,4
1151,9.59167,3
1152,9.6,4
1153,9.60833,4
1154,9.61667,3
1155,9.625,3
1156,9.63333,3
1157,9.64167,3
1158,9.65,3
1159,9.65833,3
1160,9.66667,4
1161,9.675,4
1162,9.68333,4
1163,9.69167,4
1164,9.7,4
1165,9.70833,4
1166,9.71667,4
1167,9.725,4
1168,9.73333,4
1169,9.74167,4
1170,9.75,5
1171,9.75833,5
1172,9.76667,5
1173,9.775,5
1174,9.78333,4
1175,9.79167,4
1176,9.8,3
1177,9.80833,3
1178,9.81667,3
1179,9.825,3
1180,9.83333,4
1181,9.84167,4
1182,9.85,4
1183,9.85833,3
1184,9.86667,3
1185,9.875,3
1186,9.88333,3
1187,9.89167,3
1188,9.9,3
1189,9.90833,3
1190,9.91667,3
1191,9.925,3
1192,9.93333,3
1193,9.94167,3
1194,9.95,4
1195,9.95833,4
1196,9.96667,4
1197,9.975,4
1198,9.98333,3
1199,9.99167,3
1200,10.0,3
1201,10.00833,2
1202,10.01667,3
1203,10.025,3
1204,10.03333,3
1205,10.04167,3
1206,10.05,3
1207,10.05833,3
1208,10.06667,4
1209,10.075,4
1210,10.08333,4
1211,10.09167,5
1212,10.1,5
1213,10.10833,5
1214,10.11667,5
1215,10.125,4
1216,10.13333,4
1217,10.14167,4
1218,10.15,4
1219,10.15833,4
1220,10.16667,5
1221,10.175,5
1222,10.18333,5
1223,10.19167,4
1224,10.2,4
1225,10.20833,4
1226,10.21667,5
1227,10.225,4
1228,10.23333,5
1229,10.24167,5
1230,10.25,5
1231,10.25833,5
1232,10.26667,6
1233,10.275,6
1234,10.28333,6
1235,10.29167,6
1236,10.3,5
1237,10.30833,5
1238,10.31667,5
1239,10.325,5
1240,10.33333,4
1241,10.34167,3
1242,10.35,1
1243,10.35833,-1
1244,10.36667,-4
1245,10.375,-9
1246,10.38333,-15
1247,10.39167,-23
1248,10.4,-34
1249,10.40833,-48
1250,10.41667,-66
1251,10.425,-87
1252,10.43333,-112
1253,10.44167,-143
1254,10.45,-178
1255,10.45833,-217
1256,10.46667,-260
1257,10.475,-306
1258,10.48333,-354
1259,10.49167,-401
1260,10.5,-445
1261,10.50833,-485
1262,10.51667,-516
1263,10.525,-536
1264,10.53333,-541
1265,10.54167,-525
1266,10.55,-485
1267,10.55833,-415
1268,10.56667,-311
1269,10.575,-168
1270,10.58333,20
1271,10.59167,256
1272,10.6,547
1273,10.60833,898
1274,10.61667,1312
1275,10.625,1795
1276,10.63333,2350
1277,10.64167,2981
1278,10.65,3692
1279,10.65833,4485
1280,10.66667,5364
1281,10.675,6331
1282,10.68333,7387
1283,10.69167,8535
1284,10.7,9774
1285,10.70833,11106
1286,10.71667,12530
1287,10.725,14047
1288,10.73333,15653
1289,10.74167,17349
1290,10.75,19130
1291,10.75833,20995
1292,10.76667,22938
1293,10.775,24956
1294,10.78333,27042
1295,10.79167,29188
1296,10.8,31388
1297,10.80833,33632
1298,10.81667,35909
1299,10.825,38209
1300,10.83333,40517
1301,10.84167,42820
1302,10.85,45103
1303,10.85833,47350
1304,10.86667,49544
1305,10.875,51667
1306,10.88333,53701
1307,10.89167,55629
1308,10.9,57432
1309,10.90833,59096
1310,10.91667,60604
1311,10.925,61942
1312,10.93333,63097
1313,10.94167,64059
1314,10.95,64819
1315,10.95833,65370
1316,10.96667,65705
1317,10.975,65821
1318,10.98333,65716
1319,10.99167,65388
1320,11.0,64837
1321,11.00833,64066
1322,11.01667,63078
1323,11.025,61879
1324,11.03333,60478
1325,11.04167,58884
1326,11.05,57112
1327,11.05833,55177
1328,11.06667,53096
1329,11.075,50890
1330,11.08333,48582
1331,11.09167,46194
1332,11.1,43752
1333,11.10833,41280
1334,11.11667,38801
1335,11.125,36339
1336,11.13333,33915
1337,11.14167,31546
1338,11.15,29250
1339,11.15833,27040
1340,11.16667,24927
1341,11.175,22919
1342,11.18333,21022
1343,11.19167,19239
1344,11.2,17572
1345,11.20833,16019
1346,11.21667,14579
1347,11.225,13248
1348,11.23333,12023
1349,11.24167,10896
1350,11.25,9864
1351,11.25833,8920
1352,11.26667,8058
1353,11.275,7273
1354,11.28333,6559
1355,11.29167,5910
1356,11.3,5321
1357,11.30833,4785
1358,11.31667,4299
1359,11.325,3859
1360,11.33333,3460
1361,11.34167,3098
1362,11.35,2770
1363,11.35833,2473
1364,11.36667,2204
1365,11.375,1960
1366,11.38333,1739
1367,11.39167,1538
1368,11.4,1356
1369,11.40833,1192
1370,11.41667,1042
1371,11.425,906
1372,11.43333,782
1373,11.44167,670
1374,11.45,570
1375,11.45833,478
1376,11.46667,394
1377,11.475,318
1378,11.48333,249
1379,11.49167,186
1380,11.5,129
1381,11.50833,78
1382,11.51667,31
1383,11.525,-12
1384,11.53333,-50
1385,11.54167,-85
1386,11.55,-117
1387,11.55833,-146
1388,11.56667,-172
1389,11.575,-196
1390,11.58333,-218
1391,11.59167,-237
1392,11.6,-255
1393,11.60833,-270
1394,11.61667,-284
1395,11.625,-297
1396,11.63333,-309
1397,11.64167,-320
1398,11.65,-330
1399,11.65833,-338
1400,11.66667,-346
1401,11.675,-352
1402,11.68333,-358
1403,11.69167,-363
1404,11.7,-368
1405,11.70833,-371
1406,11.71667,-374
1407,11.725,-377
1408,11.73333,-379
1409,11.74167,-381
1410,11.75,-382
1411,11.75833,-383
1412,11.76667,-384
1413,11.775,-384
1414,11.78333,-383
1415,11.79167,-383
1416,11.8,-382
1417,11.80833,-381
1418,11.81667,-380
1419,11.825,-378
1420,11.83333,-376
1421,11.84167,-374
1422,11.85,-371
1423,11.85833,-369
1424,11.86667,-365
1425,11.875,-362
1426,11.88333,-358
1427,11.89167,-354
1428,11.9,-350
1429,11.90833,-345
1430,11.91667,-340
1431,11.925,-334
1432,11.93333,-329
1433,11.94167,-323
1434,11.95,-318
1435,11.95833,-311
1436,11.96667,-305
1437,11.975,-298
1438,11.98333,-291
1439,11.99167,-284
1440,12.0,-277
1441,12.00833,-270
1442,12.01667,-262
1443,12.025,-255
1444,12.03333,-247
1445,12.04167,-239
1446,12.05,-231
1447,12.05833,-223
1448,12.06667,-216
1449,12.075,-208
1450,12.08333,-201
1451,12.09167,-194
1452,12.1,-187
1453,12.10833,-180
1454,12.11667,-173
1455,12.125,-166
1456,12.13333,-160
1457,12.14167,-154
1458,12.15,-148
1459,12.15833,-142
1460,12.16667,-136
1461,12.175,-131
1462,12.18333,-126
1463,12.19167,-121
1464,12.2,-117
1465,12.20833,-113
1466,12.21667,-109
1467,12.225,-105
1468,12.23333,-102
1469,12.24167,-99
1470,12.25,-96
1471,12.25833,-93
1472,12.26667,-90
1473,12.275,-88
1474,12.28333,-86
1475,12.29167,-84
1476,12.3,-83
1477,12.30833,-81
1478,12.31667,-80
1479,12.325,-80
1480,12.33333,-79
1481,12.34167,-79
1482,12.35,-78
1483,12.35833,-78
1484,12.36667,-77
1485,12.375,-77
1486,12.38333,-76
1487,12.39167,-76
1488,12.4,-75
1489,12.40833,-75
1490,12.41667,-74
1491,12.425,-75
1492,12.43333,-75
1493,12.44167,-75
1494,12.45,-76
1495,12.45833,-76
1496,12.46667,-76
1497,12.475,-76
1498,12.48333,-76
1499,12.49167,-75
1500,12.5,-75
1501,12.50833,-74
1502,12.51667,-74
1503,12.525,-73
1504,12.53333,-72
1505,12.54167,-71
1506,12.55,-69
1507,12.55833,-67
1508,12.56667,-63
1509,12.575,-60
1510,12.58333,-55
1511,12.59167,-50
1512,12.6,-44
1513,12.60833,-36
1514,12.61667,-27
1515,12.625,-16
1516,12.63333,-4
1517,12.64167,10
1518,12.65,26
1519,12.65833,46
1520,12.66667,67
1521,12.675,92
