time,signal_1,signal_2,signal
0.0,7.69459862670642e-21,3.1862222654019335e-24,7.697784848971822e-21
0.01,8.503421446798956e-21,3.542334496933229e-24,8.506963781295889e-21
0.02,9.396324532749073e-21,3.937854265151258e-24,9.400262387014224e-21
0.03,1.0381948798732402e-20,4.3770981071672136e-24,1.038632589683957e-20
0.04,1.1469812748239537e-20,4.8648504355045395e-24,1.1474677598675043e-20
0.05,1.267040052182252e-20,5.406413706476931e-24,1.2675806935528996e-20
0.06,1.399525866765051e-20,6.0076639083304385e-24,1.400126633155884e-20
0.07,1.545710248779582e-20,6.675111926805123e-24,1.5463777599722627e-20
0.08,1.706993289543599e-20,7.41597140353544e-24,1.7077348866839527e-20
0.09,1.884916480826121e-20,8.238233766390723e-24,1.88574030420276e-20
0.1,2.0811768202028246e-20,9.150751181041611e-24,2.082091895320929e-20
0.11,2.2976423056216598e-20,1.0163328250390979e-23,2.298658638446699e-20
0.12,2.5363689541989333e-20,1.128682337374796e-23,2.537497636536308e-20
0.13,2.7996194932097913e-20,1.2533260771542925e-23,2.8008728192869456e-20
0.14,3.089883885403684e-20,1.3915954284856302e-23,3.0912754808321695e-20
0.15,3.409901866280067e-20,1.5449644173025773e-23,3.41144683069737e-20
0.16,3.7626876879235366e-20,1.7150648258146748e-23,3.7644027527493516e-20
0.17,4.151557282561297e-20,1.9037028903570965e-23,4.153460985451654e-20
0.18,4.5801580793131324e-20,2.1128777465790617e-23,4.5822709570597116e-20
0.19,5.052501729818101e-20,2.3448018026778315e-23,5.054846531620779e-20
0.2,5.573000022720691e-20,2.601923239847826e-23,5.57560194596054e-20
0.21,6.146504293571969e-20,2.8869508594389076e-23,6.149391244431407e-20
0.22,6.778348665759447e-20,3.202881518690303e-23,6.781551547278138e-20
0.23,7.47439748985571e-20,3.553030421532628e-23,7.477950520277243e-20
0.24,8.241097383508909e-20,3.94106455804783e-23,8.245038448066957e-20
0.25,9.085534311976665e-20,4.3710396160001905e-23,9.089905351592665e-20
0.26,1.0015496190910082e-19,4.847440720661615e-23,1.0020343631630743e-19
0.27,1.1039541538361367e-19,5.375227395252671e-23,1.1044916765756618e-19
0.28,1.216707475256229e-19,5.959883174030242e-23,1.2173034635736319e-19
0.29,1.340842864619259e-19,6.6074703437304e-23,1.341503611653632e-19
0.3,1.4774954927042648e-19,7.324690337110913e-23,1.478227961737976e-19
0.31,1.6279123379626576e-19,8.118950355162815e-23,1.628724232998174e-19
0.32,1.7934630572937176e-19,8.998436852647239e-23,1.7943629009789823e-19
0.33,1.9756518996659526e-19,9.97219658546886e-23,1.9766491193244995e-19
0.34,2.1761307612409837e-19,1.1050225988607968e-22,2.1772357838398445e-19
0.35000000000000003,2.396713489855086e-19,1.2243569730494243e-22,2.3979378468281357e-19
0.36,2.6393915567568465e-19,1.3564429374523766e-22,2.640747999694299e-19
0.37,2.9063512244645765e-19,1.50262831716261e-22,2.9078538527817393e-19
0.38,3.1999923515759084e-19,1.664401811020786e-22,3.201656753386929e-19
0.39,3.522948988425638e-19,1.843407546233098e-22,3.524792395971871e-19
0.4,3.8781119317469605e-19,2.0414611188612201e-22,3.880153392865822e-19
0.41000000000000003,4.2686534220466673e-19,2.2605672700128778e-22,4.2709139893166803e-19
0.42,4.698054184383368e-19,2.5029393624775466e-22,4.700557123745846e-19
0.43,5.170133031756748e-19,2.7710208389335227e-22,5.172904052595681e-19
0.44,5.68907927051946e-19,3.0675088608405187e-22,5.6921467793803e-19
0.45,6.259488169260102e-19,3.395380346883827e-22,6.262883549606985e-19
0.46,6.886399776640131e-19,3.7579206515210063e-22,6.890157697291652e-19
0.47000000000000003,7.575341399875133e-19,4.158755147985819e-22,7.579500155023118e-19
0.48,8.332374084132099e-19,4.601884006234769e-22,8.336975968138334e-19
0.49,9.164143464267265e-19,5.091720484995953e-22,9.16923518475226e-19
0.5,1.0077935394300012e-18,5.633133088552485e-22,1.0083568527388564e-18
0.51,1.1081736797038495e-18,6.2314919734220825e-22,1.1087968289011916e-18
0.52,1.2184302216627426e-18,6.892720027981895e-22,1.2191194936655408e-18
0.53,1.3395226600761014e-18,7.62334908964936e-22,1.3402849949850663e-18
0.54,1.4725024887223958e-18,8.430581809820859e-22,1.4733455469033778e-18
0.55,1.6185219021629385e-18,9.32235972677284e-22,1.6194541381356157e-18
0.56,1.7788433090096717e-18,1.0307438161570125e-21,1.7798740528258287e-18
0.5700000000000001,1.9548497312574886e-18,1.139546861215363e-21,1.955989278118704e-18
0.58,2.1480561709980597e-18,1.2597089386716437e-21,2.1493158799367316e-18
0.59,2.3601220331823754e-18,1.3924025289754401e-21,2.361514435711351e-18
0.6,2.592864701100371e-18,1.5389197253412839e-21,2.5944036208257123e-18
0.61,2.848274369959531e-18,1.700684289359791e-21,2.8499750542488907e-18
0.62,3.1285302534294104e-18,1.8792649065498144e-21,3.1304095183359604e-18
0.63,3.436018288345047e-18,2.0763897597465104e-21,3.4380946781047937e-18
0.64,3.773350474000502e-18,2.29396254964794e-21,3.7756444365501494e-18
0.65,4.14338599469603e-18,2.534080104364504e-21,4.145920074800395e-18
0.66,4.549254287511061e-18,2.799051733530102e-21,4.552053339244591e-18
0.67,4.994380231758632e-18,3.091420497559164e-21,4.997471652256191e-18
0.68,5.4825116523332914e-18,3.4139865790871985e-21,5.485925638912379e-18
0.6900000000000001,6.017749346302832e-18,3.769832961652242e-21,6.0215191792644844e-18
0.7000000000000001,6.60457986073931e-18,4.162353640405649e-21,6.608742214379715e-18
0.71,7.247911270060111e-18,4.5952846112433196e-21,7.252506554671354e-18
0.72,7.95311222319878e-18,5.072737908397974e-21,7.958184961107178e-18
0.73,8.72605455490289e-18,5.599238986419583e-21,8.73165379388931e-18
0.74,9.573159781519686e-18,6.179767770807367e-21,9.579339549290494e-18
0.75,1.0501449829970371e-17,6.819803732560135e-21,1.0508269633702932e-17
0.76,1.1518602379413248e-17,7.525375375847072e-21,1.1526127754789095e-17
0.77,1.263301122857336e-17,8.303114565122595e-21,1.2641314343138484e-17
0.78,1.3853852138097516e-17,9.160316158626265e-21,1.3863012454256143e-17
0.79,1.5191154636822754e-17,1.0105003459636344e-20,1.5201259640282392e-17
0.8,1.665588032379929e-17,1.1146000045441619e-20,1.666702632384473e-17
0.81,1.8260008244563917e-17,1.2293008587143937e-20,1.8272301253151063e-17
0.8200000000000001,2.0016627970851636e-17,1.3556697331518893e-20,2.0030184668183156e-17
0.8300000000000001,2.194004106797019e-17,1.494879497971142e-20,2.19549898629499e-17
0.84,2.404587169385648e-17,1.648219476701782e-20,2.4062353888623496e-17
0.85,2.6351187138742675e-17,1.817106862395333e-20,2.6369358207366627e-17
0.86,2.887462918484587e-17,2.0030992381820165e-20,2.889466017722769e-17
0.87,3.163655724201477e-17,2.207908307672273e-20,3.165863632509149e-17
0.88,3.465920429832904e-17,2.4334149505124923e-20,3.4683538447834165e-17
0.89,3.7966846814797283e-17,2.6816857292385753e-20,3.799366367208967e-17
0.9,4.1585989791151604e-17,2.95499098540853e-20,4.161553970100569e-17
0.91,4.554556833589326e-17,3.255824675925315e-20,4.557812658265251e-17
0.92,4.987716718896091e-17,3.586926114587435e-20,4.9913036450106786e-17
0.93,5.461525977035129e-17,3.9513037993319054e-20,5.465477280834461e-17
0.9400000000000001,5.979746846362101e-17,4.3522615224819673e-20,5.984099107884584e-17
0.9500000000000001,6.546484799021838e-17,4.7934269797101725e-20,6.551278226001548e-17
0.96,7.166219389011066e-17,5.278783113513693e-20,7.17149817212458e-17
0.97,7.843837829706899e-17,5.812702448929276e-20,7.849650532155827e-17
0.98,8.58467153845534e-17,6.399984703151817e-20,8.591071523158492e-17
0.99,9.394535906136566e-17,7.045897976851277e-20,9.401581804113417e-17
1.0,1.0279773571668917e-16,7.756223863493921e-20,1.0287529795532411e-16
1.01,1.1247301505297902e-16,8.537306844093334e-20,1.1255838812141995e-16
1.02,1.2304662230406913e-16,9.396108368766736e-20,1.231405833877568e-16
1.03,1.346007954164212e-16,1.0340266063513495e-19,1.3470419807705632e-16
1.04,1.472251910754426e-16,1.1378158541039083e-19,1.4733897266085299e-16
1.05,1.6101754378815999e-16,1.2518976338520383e-19,1.611427335515452e-16
1.06,1.7608438259031128e-16,1.3772799553280263e-19,1.7622211058584407e-16
