[File Description]


[Configuration]
Instrument Name, Simulated HPLC Equipment Similar to a Shimadzu
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector B-Ch1)]
Interval(msec),500
R.Time (min),Intensity
0.0,99.93264555274605
0.015,100.08900184969964
0.03,99.4121319034907
0.045,99.29383895710804
0.06,100.62936573567686
0.075,97.7691490576676
0.09,100.34338375767075
0.105,103.07171202414631
0.12,101.40474342722291
0.135,100.4059968004905
0.15,97.9956992134642
0.16499999999999998,99.56785096010096
0.18,98.78810720257921
0.195,101.31276561587718
0.21,100.51924050027364
0.22499999999999998,101.3295598171835
0.24,104.13241129042193
0.255,103.49397919060712
0.27,103.83018164682508
0.285,106.41761284495347
0.3,104.37075772161832
0.315,102.70538430244804
0.32999999999999996,101.13822544680967
0.345,104.68139379447966
0.36,102.86806017539105
0.375,101.15823657667742
0.39,105.79911341341788
0.40499999999999997,103.7958119020528
0.42,108.00323006312544
0.435,105.51011610319378
0.44999999999999996,104.01472922080194
0.46499999999999997,105.49226310527004
0.48,100.61519520007735
0.495,103.80936786842393
0.51,105.1485420405289
0.525,103.12487390534415
0.54,106.63623421777348
0.5549999999999999,99.87102461674066
0.57,108.8007897724903
0.585,103.9873030878335
0.6,108.07094396058694
0.615,102.614250567135
0.63,103.56769823235605
0.645,105.18594060016223
0.6599999999999999,107.92086003415277
0.6749999999999999,105.97660116456336
0.69,107.11679095199794
0.705,105.07360876871402
0.72,107.22285947585681
0.735,109.93199375078109
0.75,107.08997318923558
0.765,110.52924281172592
0.78,107.30765940455079
0.7949999999999999,106.44172425951655
0.8099999999999999,109.97041539928804
0.825,108.3869369053318
0.84,109.62657275858184
0.855,107.72134811029274
0.87,110.38626341590951
0.885,108.57652859731203
0.8999999999999999,112.4420858266245
0.9149999999999999,106.07992574230337
0.9299999999999999,112.25621131355874
0.945,109.8902161508152
0.96,113.23643114126715
0.975,108.44043919531137
0.99,112.31806368463263
1.005,111.5294361935205
1.02,110.1189355300973
1.035,110.89847539359148
1.05,108.54732130930319
1.065,112.97245379155153
1.08,113.02261257043332
1.095,109.96848748160568
1.1099999999999999,111.96420920486054
1.125,107.83742606572314
1.14,112.56962879134319
1.155,115.18520200664915
1.17,108.18844144578013
1.185,113.40102465947548
1.2,111.33633888704523
1.2149999999999999,113.96254840470462
1.23,114.70458793624569
1.2449999999999999,113.95134574675599
1.26,111.55356102193001
1.275,109.55188356015165
1.29,113.61714674776222
1.305,109.64983485571808
1.3199999999999998,111.21048204763102
1.335,114.77155123518206
1.3499999999999999,114.24857884952269
1.365,114.00928817531864
1.38,115.19887106776706
1.395,112.29272952446794
1.41,114.99221252567615
1.425,114.40710652414512
1.44,112.22445815709824
1.4549999999999998,114.83875729623983
1.47,113.79118187102671
1.4849999999999999,117.23146585550519
1.5,116.95208872015024
1.515,115.2614646170682
1.53,121.21457907202227
1.545,116.94694960590112
1.56,116.22382626756561
1.575,117.17638776458044
1.5899999999999999,118.13553375344617
1.605,117.8156028138309
1.6199999999999999,116.0607466611009
1.635,116.44791560637394
1.65,119.5472886674547
1.665,114.39848464784437
1.68,114.49909303202466
1.6949999999999998,119.00425042341624
1.71,116.22003183909695
1.7249999999999999,117.46847499221441
1.74,121.08070855437043
1.755,117.06291883179267
1.77,117.52161349948744
1.785,117.1862889941842
1.7999999999999998,118.52198175354815
1.815,117.87913386819959
1.8299999999999998,119.39185909191826
1.845,118.76577686890371
1.8599999999999999,118.876722711103
1.875,116.97118659557414
1.89,119.949153208659
1.905,122.76626484465763
1.92,121.03436884211357
1.9349999999999998,116.12578126795204
1.95,118.84132814273266
1.9649999999999999,122.71815379649183
1.98,124.27168816530126
1.9949999999999999,119.9052774801906
2.01,121.43469662676574
2.025,119.7216651425741
2.04,123.57952459177814
2.0549999999999997,117.14784557998385
2.07,121.35195268522568
2.085,122.04269221676107
2.1,124.36620523955523
2.1149999999999998,120.14578598817813
2.13,124.77997205007227
2.145,122.38588098756068
2.16,123.9872035843583
2.175,125.55481514192068
2.19,124.73536925074032
2.205,123.67638286342853
2.2199999999999998,122.47850057267334
2.235,124.0383721139022
2.25,121.75814272905413
2.265,129.16644937522935
2.28,125.64645781612086
2.295,123.19953617301158
2.31,128.39743235064964
2.3249999999999997,124.64274098180148
2.34,125.80298867578377
2.355,123.88336032706695
2.37,125.51246955803609
2.385,129.91299578488523
2.4,131.0377578330242
2.415,128.34834893707668
2.4299999999999997,131.2200242103153
2.445,127.03317710236068
2.46,129.32606159791666
2.475,129.4261984815281
2.4899999999999998,132.4581790328944
2.505,132.3092244209212
2.52,131.96862526875597
2.5349999999999997,134.22864871466032
2.55,133.9333637020264
2.565,135.712350866312
2.58,134.96147440030222
2.5949999999999998,136.73830916998293
2.61,141.82218345059312
2.625,139.0518640134854
2.6399999999999997,139.32377280640705
2.655,136.56034852250053
2.67,140.54928250730322
2.685,139.2671830855607
2.6999999999999997,142.98382617126248
2.715,145.37701120029413
2.73,149.68355249172367
2.745,147.17357731548097
2.76,153.42420877407386
2.775,157.77250801187424
2.79,153.92414861084472
2.8049999999999997,154.8067868402587
2.82,157.95165151982593
2.835,159.20515098693429
2.85,161.00049621893947
2.8649999999999998,166.93664800614008
2.88,171.43873332427404
2.895,175.44919112998298
2.9099999999999997,176.23963491022278
2.925,179.51218275775594
2.94,186.70707471019827
2.955,184.428209575082
2.9699999999999998,192.54614418063318
2.985,195.75180396023768
3.0,203.05433096982222
3.0149999999999997,206.3506555536029
3.03,215.51917118649462
3.045,216.81629219044288
3.06,225.5891273083838
3.0749999999999997,232.31419562174972
3.09,238.8373146285101
3.105,243.2722042849927
3.12,256.4905076915492
3.135,262.4629095276633
3.15,270.4749119751974
3.165,284.45105855827717
3.1799999999999997,287.4218950440574
3.195,299.44281482926226
3.21,316.52103027506826
3.225,326.7267387519951
3.2399999999999998,335.1885041543476
3.255,348.2463736336389
3.27,367.1974369206416
3.2849999999999997,380.0203994155454
3.3,396.54169203567994
3.315,414.51677949443337
3.33,425.87665214601736
3.3449999999999998,445.59699171423824
3.36,466.2287940687168
3.375,486.62182343989423
3.3899999999999997,507.6451357893026
3.405,527.2185016088288
3.42,547.9684339036478
3.435,571.6936168348532
3.4499999999999997,596.1074964130341
3.465,621.187340285352
3.48,644.2461995130603
3.4949999999999997,674.7012189934674
3.51,704.690210860792
3.525,739.3325827088487
3.54,770.0022501284495
3.5549999999999997,804.943622498172
3.57,839.6377658051068
3.585,872.2020734596528
3.5999999999999996,912.4161634813144
3.6149999999999998,950.5426282476898
3.63,989.7892253291159
3.645,1038.672924132457
3.6599999999999997,1080.5167796465014
3.675,1129.5813381577093
3.69,1170.3761603849675
3.705,1222.3682609105429
3.7199999999999998,1273.5275290149737
3.735,1327.175093383395
3.75,1379.3683207438585
3.7649999999999997,1434.344730852531
3.78,1494.3904125470783
3.795,1550.4985756597678
3.81,1615.396576559584
3.8249999999999997,1676.5692123053243
3.84,1744.1642872481932
3.855,1808.7334963011647
3.8699999999999997,1879.7803338054318
3.885,1951.0342553270966
3.9,2019.987790048172
3.915,2094.790079030822
3.9299999999999997,2172.5642329531115
3.945,2251.6832297729497
3.96,2332.461998358673
3.9749999999999996,2411.8324223331447
3.9899999999999998,2494.2506706352324
4.005,2576.703664192206
4.02,2664.084683128251
4.035,2753.6238608083563
4.05,2843.803264002093
4.0649999999999995,2938.447474676649
4.08,3030.3105194876334
4.095,3126.4870323617215
4.109999999999999,3218.4089758699865
4.125,3318.1993649409023
4.14,3415.384062967915
4.155,3515.7236597268056
4.17,3616.0958533130215
4.185,3717.799296377594
4.2,3817.5717188657513
4.215,3923.261852545558
4.2299999999999995,4026.9620595949063
4.245,4134.693531296933
4.26,4234.751299774746
4.2749999999999995,4340.98642488608
4.29,4448.088606650641
4.305,4551.354018839967
4.32,4654.081959461574
4.335,4756.429482744831
4.35,4862.071412522739
4.365,4960.392376020894
4.38,5061.745351471894
4.395,5157.537934347659
4.41,5256.940570221658
4.425,5347.223597730132
4.4399999999999995,5439.512559623718
4.455,5521.033367476658
4.47,5607.65182879906
4.484999999999999,5686.091518983899
4.5,5766.031571493747
4.515,5838.4446018122835
4.53,5899.931017616557
4.545,5966.756364259097
4.56,6017.712451963551
4.575,6071.954829040199
4.59,6110.371595097953
4.6049999999999995,6149.69413208895
4.62,6176.834306534928
4.635,6201.617265688843
4.6499999999999995,6211.498400647408
4.665,6217.767995866063
4.68,6209.855467622241
4.694999999999999,6200.916228138236
4.71,6175.575659908586
4.725,6147.09536336242
4.74,6102.31214110463
4.755,6056.444847874153
4.77,5999.094836180683
4.785,5928.750845474824
4.8,5851.763672336678
4.8149999999999995,5770.6598760479355
4.83,5671.070944481297
4.845,5568.366615771992
4.859999999999999,5458.536622483516
4.875,5337.983714843387
4.89,5211.57935765781
4.905,5079.835333325664
4.92,4937.1248948932325
4.935,4792.885495928829
4.95,4642.153980506206
4.965,4488.420609211741
4.9799999999999995,4327.459135928464
4.995,4172.9940190703865
5.01,4006.5260521113382
5.0249999999999995,3834.0960861806643
5.04,3670.594757399862
5.055,3501.542330158887
5.069999999999999,3337.1380397331895
5.085,3165.5920846127233
5.1,3006.2718590159557
5.115,2846.217326804682
5.13,2687.0568964019517
5.145,2537.328712235101
5.16,2383.045630702453
5.175,2236.7276846595896
5.1899999999999995,2096.0570687662052
5.205,1958.7930460617088
5.22,1829.7926711752916
5.234999999999999,1707.6057809670542
5.25,1588.6110559473743
5.265,1476.3251101956123
5.279999999999999,1366.6054385700954
5.295,1270.3946232793928
5.31,1173.8968148902575
5.325,1080.0726319164228
5.34,1001.976621536919
5.3549999999999995,929.2893193366323
5.37,856.3977857932523
5.385,790.0701318387462
5.3999999999999995,732.7013021273783
5.415,675.6320173164714
5.43,624.7038499684908
5.444999999999999,575.8221616888834
5.46,535.0180399581805
5.475,498.19753926287143
5.49,468.0482082930861
5.505,436.1445891663882
5.52,407.09900237775037
5.535,387.8620218526015
5.55,360.388292837614
5.5649999999999995,343.4163038175861
5.58,328.39534600155815
5.595,314.0193096342196
5.609999999999999,300.0881744527718
5.625,286.85440410868125
5.64,282.4194572735527
5.654999999999999,269.15956326076855
5.67,263.15983442792043
5.685,255.5663499618208
5.7,252.2515484954878
5.715,247.51752948064018
5.7299999999999995,246.46612349645704
5.745,240.73672586755512
5.76,239.62434003205152
5.7749999999999995,236.64693194912448
5.79,238.55413074934054
5.805,234.59638211283982
5.819999999999999,236.55291139132157
5.835,233.28920242385922
5.85,232.63816256186522
5.865,231.54221552556882
5.88,236.98944266376674
5.895,236.34004250625458
5.91,237.2043240936868
5.925,234.86206641081398
5.9399999999999995,237.42523108430424
5.955,239.61936348247008
5.97,239.46015660255185
5.984999999999999,242.94486968345342
6.0,245.15049487779243
6.015,245.9509025675155
6.029999999999999,245.2901316980304
6.045,246.54760627373128
6.06,251.57778043023117
6.075,253.29767250078095
6.09,252.5496603253
6.1049999999999995,253.84988840438018
6.12,255.80591419841923
6.135,258.58852853733947
6.1499999999999995,259.4643990121151
6.165,262.47516995617883
6.18,265.3207439935903
6.194999999999999,267.89120511831595
6.21,271.8963115635914
6.225,272.33788978628195
6.24,275.511585835151
6.255,280.88349565725713
6.27,284.1104505344027
6.285,284.94818784832273
6.3,288.407290414506
6.3149999999999995,296.2262900863624
6.33,295.722156149592
6.345,302.837360593797
6.359999999999999,306.0949174116827
6.375,307.5713773077522
6.39,311.87374364159797
6.404999999999999,313.2946544488675
6.42,320.72432549053644
6.435,321.0972561434054
6.45,329.29854894388416
6.465,332.32907168570114
6.4799999999999995,333.4149972522347
6.495,341.35236419774503
6.51,346.24899317744405
6.5249999999999995,354.45703132487154
6.54,356.59657622601026
6.555,362.657905674834
6.569999999999999,367.90938794406816
6.585,374.7447444141586
6.6,381.2016299977622
6.614999999999999,383.15675799422183
6.63,391.73248807486493
6.645,398.28358029669505
6.66,403.8686122031502
6.675,408.64953787670095
6.6899999999999995,415.70257448666564
6.705,422.43180608532714
6.72,428.17761604042755
6.734999999999999,435.2182744573756
6.75,445.1179185008877
6.765,455.5706864124706
6.779999999999999,456.7871220830574
6.795,465.67108320954054
6.81,471.6432203100693
6.825,481.84599656584226
6.84,492.5003798362818
6.8549999999999995,499.58590023518036
6.87,505.9835592691061
6.885,510.9502354983333
6.8999999999999995,518.733281887166
6.915,529.5724767196581
6.93,538.1064683303214
6.944999999999999,545.7629905892057
6.96,552.7817495472761
6.975,566.0520664959992
6.989999999999999,568.6301381043893
7.005,578.4287131953281
7.02,590.7799834681981
7.035,596.8471214920999
7.05,608.6047520118041
7.0649999999999995,618.1014837391548
7.08,626.1614324096474
7.095,632.338062674878
7.109999999999999,643.5209645422395
7.125,651.8921159044423
7.14,660.051398454932
7.154999999999999,669.6556377643467
7.17,676.807951984178
7.185,684.094990509317
7.199999999999999,690.8130262823942
7.215,699.855807250327
7.2299999999999995,709.9776786740456
7.245,718.5899097820343
7.26,727.9448404943909
7.2749999999999995,737.5537984649638
7.29,743.4176081603619
7.305,752.2128236224405
7.319999999999999,759.1606543365305
7.335,768.1232816610988
7.35,777.4908331368762
7.364999999999999,783.6868357407046
7.38,791.6248372708645
7.395,797.4185671210435
7.41,805.5078368000015
7.425,807.6640090219483
7.4399999999999995,818.0684803876507
7.455,822.3415849790451
7.47,826.8817646853339
7.484999999999999,834.8335330970808
7.5,837.1116086010686
7.515,846.0709714306155
7.529999999999999,849.9768006864085
7.545,851.8213399747941
7.56,857.5423093625707
7.574999999999999,863.3225973929693
7.59,867.2779434145714
7.6049999999999995,868.5858659161153
7.62,871.3450879243982
7.635,874.6339624912496
7.6499999999999995,876.5810882180889
7.665,882.1951219884937
7.68,885.6731470748794
7.694999999999999,885.0880708516378
7.71,885.5881545314555
7.725,890.2986792152194
7.739999999999999,891.0453678391821
7.755,893.7885051440685
7.77,887.8115412747736
7.785,891.4391923685741
7.8,894.0421153877328
7.8149999999999995,888.5670402305369
7.83,889.5536144698325
7.845,887.8539982845323
7.859999999999999,885.7525717284992
7.875,881.9252149312026
7.89,881.1662548164726
7.904999999999999,878.1472233897282
7.92,872.5317738648719
7.935,869.8532208679625
7.949999999999999,868.3021398860687
7.965,868.1515956501071
7.9799999999999995,861.7512276549444
7.995,857.7767875495481
8.01,852.4034195078272
8.025,847.763800067281
8.04,843.2848241844955
8.055,837.0391654110477
8.07,832.9531049776105
8.084999999999999,826.6319613879471
8.1,820.4682866701824
8.115,813.2328325433106
8.129999999999999,803.6018207324411
8.145,797.4093277091911
8.16,795.2496096568428
8.174999999999999,784.2136791285166
8.19,777.0875543049102
8.205,769.0216263326506
8.219999999999999,761.1769517649282
8.235,751.051583136149
8.25,746.1362730848176
8.265,739.8341860290318
8.28,731.9390413972903
8.295,716.2624865120746
8.31,713.6897303039902
8.325,703.5563072172732
8.34,701.1721746259446
8.355,686.7526257169659
8.37,677.9988935966619
8.385,669.3393106047764
8.4,664.5627004988851
8.415,650.1918463047972
8.43,644.6908994477853
8.445,631.7648263701269
8.459999999999999,627.7080436628819
8.475,619.510506398216
8.49,610.3659065691518
8.504999999999999,600.5771441148868
8.52,591.1962545866384
8.535,585.9691860518125
8.549999999999999,576.2141224678043
8.565,563.6006415510308
8.58,559.0571970014327
8.594999999999999,546.3346919401338
8.61,541.3828743178711
8.625,534.2031472234526
8.64,525.3010102539489
8.655,517.5520375092501
8.67,510.3287274696256
8.685,500.9221765856161
8.7,495.75064923920945
8.715,488.7362846267396
8.73,483.6430832346498
8.745,477.43306480595425
8.76,469.5406216727162
8.775,460.09828973018386
8.79,454.2179199414213
8.805,448.477611929281
8.82,447.5409923802892
8.834999999999999,435.45020210823174
8.85,434.5099880236339
8.865,427.0084900274541
8.879999999999999,423.8696003811075
8.895,421.80107565799415
8.91,414.46753197883936
8.924999999999999,413.7901787786954
8.94,403.36660969010074
8.955,404.0563336739316
8.969999999999999,399.66510189775454
8.985,400.3979323836164
9.0,397.3417629592084
9.014999999999999,395.7449324186084
9.03,392.37124930991666
9.045,392.2887025985186
9.06,389.7148091458157
9.075,391.2932737230508
9.09,391.99374286164345
9.105,389.214779641696
9.12,391.4437862977556
9.135,388.63471593404665
9.15,391.0078585999896
9.165,395.4206643807538
9.18,400.74769365987595
9.195,396.71220095680053
9.209999999999999,402.20512833718806
9.225,406.28551374406845
9.24,413.12124591042334
9.254999999999999,416.39195741117203
9.27,417.71922125652964
9.285,425.54082593121296
9.299999999999999,435.87756123743327
9.315,444.7416513203749
9.33,449.1184427958614
9.344999999999999,459.7595159576788
9.36,465.72008810423637
9.375,477.35646834532326
9.389999999999999,491.59072423650565
9.405,503.8935363545256
9.42,510.81886480053095
9.435,529.7690391224772
9.45,541.0074935135751
9.465,556.743561001572
9.48,575.3045572428128
9.495,584.1030025923657
9.51,605.9715620585126
9.525,625.2263002999763
9.54,644.3383646391545
9.555,665.8910221256292
9.57,688.7800306770856
9.584999999999999,707.1579496091427
9.6,733.4202883918952
9.615,759.170140221869
9.629999999999999,786.725156964579
9.645,814.5268074766111
9.66,840.8217330169258
9.674999999999999,869.7088636686086
9.69,902.599713245713
9.705,932.8809613261931
9.719999999999999,971.5758982972624
9.735,1005.4108915881609
9.75,1043.679743977034
9.764999999999999,1080.1651186661504
9.78,1118.999591326879
9.795,1159.4000398547928
9.81,1199.779628572607
9.825,1249.7291470583307
9.84,1288.8328755865564
9.855,1338.7025281280658
9.87,1385.3776739681648
9.885,1434.3898440574092
9.9,1483.231152709675
9.915,1539.0846304050765
9.93,1594.3174879101086
9.945,1648.4311741612937
9.959999999999999,1705.0986509282436
9.975,1767.523772752577
9.99,1822.5535654719265
10.004999999999999,1885.5017847428946
10.02,1948.3939496134994
10.035,2018.071672383698
10.049999999999999,2079.3575017830726
10.065,2149.955712177527
10.08,2218.258391181045
10.094999999999999,2289.4764053576855
10.11,2364.258738669299
10.125,2435.3541208848787
10.139999999999999,2508.6713912584496
10.155,2582.0336432805143
10.17,2657.091432578061
10.185,2738.040508984765
10.2,2817.630744532314
10.215,2900.4314140382794
10.23,2978.92297960967
10.245,3062.889473537081
10.26,3143.489974115717
10.275,3228.2201533861635
10.29,3311.0111554074147
10.305,3394.8963759080366
10.32,3485.5314513503163
10.334999999999999,3573.7705010508694
10.35,3655.3225985610534
10.365,3742.2953118047703
10.379999999999999,3832.509191318688
10.395,3923.097803390807
10.41,4005.390555291788
10.424999999999999,4093.292382560972
10.44,4182.680202553784
10.455,4267.73814716883
10.469999999999999,4360.541210983883
10.485,4439.159818843096
10.5,4526.672473955329
10.514999999999999,4613.452088967392
10.53,4697.504530749029
10.545,4780.686355041419
10.559999999999999,4859.505812405838
10.575,4941.844867343289
10.59,5022.981041886721
10.605,5103.082016025016
10.62,5179.318388913332
10.635,5255.824450745972
10.65,5333.555077541894
10.665,5402.465031357521
10.68,5473.254071699842
10.695,5540.984774148481
10.709999999999999,5606.9076457202955
10.725,5673.955198807381
10.74,5738.848859027587
10.754999999999999,5796.243264478158
10.77,5853.513615596544
10.785,5911.840778825385
10.799999999999999,5962.169082824959
10.815,6015.114722976015
10.83,6064.224448730405
10.844999999999999,6110.850702595427
10.86,6154.739768763222
10.875,6189.120253799407
10.889999999999999,6227.663436231228
10.905,6257.838839824409
10.92,6284.46922693303
10.934999999999999,6305.972736973886
10.95,6333.487567935892
10.965,6349.905955462679
10.98,6367.45458645187
10.995,6375.361352759141
11.01,6386.323264659737
11.025,6392.950165855261
11.04,6394.485308897585
11.055,6394.591251993118
11.07,6389.802496819032
11.084999999999999,6384.660941245542
11.1,6373.435808770723
11.115,6358.165207575616
11.129999999999999,6343.102421581896
11.145,6316.300735731241
11.16,6296.351925052282
11.174999999999999,6267.781471453291
11.19,6236.597613118618
11.205,6204.611110300773
11.219999999999999,6165.41015272335
11.235,6126.862191927879
11.25,6080.974858441024
11.264999999999999,6043.6385516603095
11.28,5989.556948287517
11.295,5942.294291678953
11.309999999999999,5888.653068157816
11.325,5825.953662569003
11.34,5772.584412749956
11.355,5709.894242588811
11.37,5644.184835975742
11.385,5574.410685474367
11.4,5506.999371083096
11.415,5439.458116133801
11.43,5367.5761132344105
11.445,5290.728338477407
11.459999999999999,5214.618377523513
11.475,5137.80468899287
11.49,5055.337644872398
11.504999999999999,4972.725068640468
11.52,4898.0505280253565
11.535,4813.820779808649
11.549999999999999,4728.48473070378
11.565,4644.218676951682
11.58,4560.856695799997
11.594999999999999,4471.186882495666
11.61,4385.472902742565
11.625,4300.492723720698
11.639999999999999,4209.573243448158
11.655,4119.412817812556
11.67,4030.9857209638476
11.684999999999999,3945.5323187731483
11.7,3853.5033254950827
11.715,3768.049057182883
11.73,3678.3340182070683
11.745,3590.8987290445634
11.76,3501.881255206426
11.775,3420.1213430334637
11.79,3328.395351423457
11.805,3243.874634757781
11.82,3159.009451101639
11.834999999999999,3073.3276143410485
11.85,2994.1733756424082
11.865,2910.0845597135167
11.879999999999999,2830.1745303667385
11.895,2749.099192652131
11.91,2674.088706386187
